medal_type,medal_code,medal_date,athlete_name,event,country,discipline
Gold Medal,1,00:00.0,GANNA Filippo,Men's Team Pursuit,Italy,Cycling Track
Gold Medal,1,00:00.0,MILAN Jonathan,Men's Team Pursuit,Italy,Cycling Track
Gold Medal,1,00:00.0,LAMON Francesco,Men's Team Pursuit,Italy,Cycling Track
Silver Medal,2,00:00.0,LARSEN Niklas,Men's Team Pursuit,Denmark,Cycling Track
Silver Medal,2,00:00.0,MADSEN Frederik,Men's Team Pursuit,Denmark,Cycling Track
Silver Medal,2,00:00.0,HANSEN Lasse Norman,Men's Team Pursuit,Denmark,Cycling Track
Silver Medal,2,00:00.0,PEDERSEN Rasmus,Men's Team Pursuit,Denmark,Cycling Track
Bronze Medal,3,00:00.0,O'BRIEN Kelland,Men's Team Pursuit,Australia,Cycling Track
Bronze Medal,3,00:00.0,WELSFORD Sam,Men's Team Pursuit,Australia,Cycling Track
Bronze Medal,3,00:00.0,PLAPP Lucas,Men's Team Pursuit,Australia,Cycling Track
Bronze Medal,3,00:00.0,HOWARD Leigh,Men's Team Pursuit,Australia,Cycling Track
Bronze Medal,3,00:00.0,PORTER Alexander,Men's Team Pursuit,Australia,Cycling Track
Gold Medal,1,00:00.0,MAHER Ben,Jumping Individual,Great Britain,Equestrian
Silver Medal,2,00:00.0,FREDRICSON Peder,Jumping Individual,Sweden,Equestrian
Bronze Medal,3,00:00.0,van der VLEUTEN Maikel,Jumping Individual,Netherlands,Equestrian
Gold Medal,1,00:00.0,CUNHA Ana Marcela,Women's 10km,Brazil,Marathon Swimming
Silver Medal,2,00:00.0,van ROUWENDAAL Sharon,Women's 10km,Netherlands,Marathon Swimming
Bronze Medal,3,00:00.0,LEE Kareena,Women's 10km,Australia,Marathon Swimming
Gold Medal,1,00:00.0,RYAN Will,Men's Two Person Dinghy - 470,Australia,Sailing
Gold Medal,1,00:00.0,BELCHER Mathew,Men's Two Person Dinghy - 470,Australia,Sailing
Silver Medal,2,00:00.0,BERGSTROM Fredrik,Men's Two Person Dinghy - 470,Sweden,Sailing
Silver Medal,2,00:00.0,DAHLBERG Anton,Men's Two Person Dinghy - 470,Sweden,Sailing
Bronze Medal,3,00:00.0,RODRIGUEZ GARCIA-PAZ Nicolas,Men's Two Person Dinghy - 470,Spain,Sailing
Bronze Medal,3,00:00.0,XAMMAR Jordi,Men's Two Person Dinghy - 470,Spain,Sailing
Gold Medal,1,00:00.0,McINTYRE Eilidh,Women's Two Person Dinghy - 470,Great Britain,Sailing
Gold Medal,1,00:00.0,MILLS Hannah,Women's Two Person Dinghy - 470,Great Britain,Sailing
Silver Medal,2,00:00.0,SKRZYPULEC Agnieszka,Women's Two Person Dinghy - 470,Poland,Sailing
Silver Medal,2,00:00.0,OGAR Jolanta,Women's Two Person Dinghy - 470,Poland,Sailing
Bronze Medal,3,00:00.0,LECOINTRE Camille,Women's Two Person Dinghy - 470,France,Sailing
Bronze Medal,3,00:00.0,RETORNAZ Aloise,Women's Two Person Dinghy - 470,France,Sailing
Gold Medal,1,00:00.0,YOSOZUMI Sakura,Women's Park,Japan,Skateboarding
Silver Medal,2,00:00.0,HIRAKI Kokona,Women's Park,Japan,Skateboarding
Bronze Medal,3,00:00.0,BROWN Sky,Women's Park,Great Britain,Skateboarding
Gold Medal,1,00:00.0,TALAKHADZE Lasha,Men's +109kg,Georgia,Weightlifting
Silver Medal,2,00:00.0,DAVOUDI Ali,Men's +109kg,Islamic Republic of Iran,Weightlifting
Bronze Medal,3,00:00.0,ASAAD Man,Men's +109kg,Syrian Arab Republic,Weightlifting
Gold Medal,1,00:00.0,GERAEI Mohammadreza,Men's Greco-Roman 67kg,Islamic Republic of Iran,Wrestling
Silver Medal,2,00:00.0,NASIBOV Parviz,Men's Greco-Roman 67kg,Ukraine,Wrestling
Bronze Medal,3,00:00.0,ELSAYED Mohamed Ibrahim Elsayed,Men's Greco-Roman 67kg,Egypt,Wrestling
Bronze Medal,3,00:00.0,STAEBLER Frank,Men's Greco-Roman 67kg,Germany,Wrestling
Gold Medal,1,00:00.0,BELENIUK Zhan,Men's Greco-Roman 87kg,Ukraine,Wrestling
Silver Medal,2,00:00.0,LORINCZ Viktor,Men's Greco-Roman 87kg,Hungary,Wrestling
Bronze Medal,3,00:00.0,KUDLA Denis Maksymilian,Men's Greco-Roman 87kg,Germany,Wrestling
Bronze Medal,3,00:00.0,DATUNASHVILI Zurabi,Men's Greco-Roman 87kg,Serbia,Wrestling
Gold Medal,1,00:00.0,KAWAI Yukako,Women's Freestyle 62kg,Japan,Wrestling
Silver Medal,2,00:00.0,TYNYBEKOVA Aisuluu,Women's Freestyle 62kg,Kyrgyzstan,Wrestling
Bronze Medal,3,00:00.0,KOLIADENKO Iryna,Women's Freestyle 62kg,Ukraine,Wrestling
Bronze Medal,3,00:00.0,YUSEIN Taybe Mustafa,Women's Freestyle 62kg,Bulgaria,Wrestling
Gold Medal,1,00:00.0,PARCHMENT Hansle,Men's 110m Hurdles,Jamaica,Athletics
Silver Medal,2,00:00.0,HOLLOWAY Grant,Men's 110m Hurdles,United States of America,Athletics
Bronze Medal,3,00:00.0,LEVY Ronald,Men's 110m Hurdles,Jamaica,Athletics
Gold Medal,1,00:00.0,STANO Massimo,Men's 20km Race Walk,Italy,Athletics
Silver Medal,2,00:00.0,IKEDA Koki,Men's 20km Race Walk,Japan,Athletics
Bronze Medal,3,00:00.0,YAMANISHI Toshikazu,Men's 20km Race Walk,Japan,Athletics
Gold Medal,1,00:00.0,GARDINER Steven,Men's 400m,Bahamas,Athletics
Silver Medal,2,00:00.0,ZAMBRANO Anthony Jose,Men's 400m,Colombia,Athletics
Bronze Medal,3,00:00.0,JAMES Kirani,Men's 400m,Grenada,Athletics
Gold Medal,1,00:00.0,CROUSER Ryan,Men's Shot Put,United States of America,Athletics
Silver Medal,2,00:00.0,KOVACS Joe,Men's Shot Put,United States of America,Athletics
Bronze Medal,3,00:00.0,WALSH Tomas,Men's Shot Put,New Zealand,Athletics
Gold Medal,1,00:00.0,PICHARDO Pedro,Men's Triple Jump,Portugal,Athletics
Silver Medal,2,00:00.0,ZHU Yaming,Men's Triple Jump,People's Republic of China,Athletics
Bronze Medal,3,00:00.0,ZANGO Hugues Fabrice,Men's Triple Jump,Burkina Faso,Athletics
Gold Medal,1,00:00.0,NAGEOTTE Katie,Women's Pole Vault,United States of America,Athletics
Silver Medal,2,00:00.0,SIDOROVA Anzhelika,Women's Pole Vault,ROC,Athletics
Bronze Medal,3,00:00.0,BRADSHAW Holly,Women's Pole Vault,Great Britain,Athletics
Gold Medal,1,00:00.0,BATYRGAZIEV Albert,Men's Feather (52-57kg),ROC,Boxing
Silver Medal,2,00:00.0,RAGAN Duke,Men's Feather (52-57kg),United States of America,Boxing
Bronze Medal,3,00:00.0,BIBOSSINOV Saken,Men's Fly (48-52kg),Kazakhstan,Boxing
Bronze Medal,3,00:00.0,TANAKA Ryomei,Men's Fly (48-52kg),Japan,Boxing
Bronze Medal,3,00:00.0,MARCIAL Eumir,Men's Middle (69-75kg),Philippines,Boxing
Bronze Medal,3,00:00.0,BAKSHI Gleb,Men's Middle (69-75kg),ROC,Boxing
Bronze Medal,3,00:00.0,SEESONDEE Sudaporn,Women's Light (57-60kg),Thailand,Boxing
Bronze Medal,3,00:00.0,POTKONEN Mira Marjut Johanna,Women's Light (57-60kg),Finland,Boxing
Gold Medal,1,00:00.0,van der WESTHUYZEN Jean,Men's Kayak Double 1000m,Australia,Canoe Sprint
Gold Medal,1,00:00.0,GREEN Thomas,Men's Kayak Double 1000m,Australia,Canoe Sprint
Silver Medal,2,00:00.0,SCHOPF Jacob,Men's Kayak Double 1000m,Germany,Canoe Sprint
Silver Medal,2,00:00.0,HOFF Max,Men's Kayak Double 1000m,Germany,Canoe Sprint
Bronze Medal,3,00:00.0,DOSTAL Josef,Men's Kayak Double 1000m,Czech Republic,Canoe Sprint
Bronze Medal,3,00:00.0,SLOUF Radek,Men's Kayak Double 1000m,Czech Republic,Canoe Sprint
Gold Medal,1,00:00.0,TOTKA Sandor,Men's Kayak Single 200m,Hungary,Canoe Sprint
Silver Medal,2,00:00.0,RIZZA Manfredi,Men's Kayak Single 200m,Italy,Canoe Sprint
Bronze Medal,3,00:00.0,HEATH Liam,Men's Kayak Single 200m,Great Britain,Canoe Sprint
Gold Medal,1,00:00.0,HARRISON Nevin,Women's Canoe Single 200m,United States of America,Canoe Sprint
Silver Medal,2,00:00.0,VINCENT-LAPOINTE Laurence,Women's Canoe Single 200m,Canada,Canoe Sprint
Bronze Medal,3,00:00.0,LUZAN Liudmyla,Women's Canoe Single 200m,Ukraine,Canoe Sprint
Gold Medal,1,00:00.0,CARRINGTON Lisa,Women's Kayak Single 500m,New Zealand,Canoe Sprint
Silver Medal,2,00:00.0,CSIPES Tamara,Women's Kayak Single 500m,Hungary,Canoe Sprint
Bronze Medal,3,00:00.0,JORGENSEN Emma Aastrand,Women's Kayak Single 500m,Denmark,Canoe Sprint
Gold Medal,1,00:00.0,WALLS Matthew,Men's Omnium,Great Britain,Cycling Track
Silver Medal,2,00:00.0,STEWART Campbell,Men's Omnium,New Zealand,Cycling Track
Bronze Medal,3,00:00.0,VIVIANI Elia,Men's Omnium,Italy,Cycling Track
Gold Medal,1,00:00.0,BRASPENNINCX Shanne,Women's Keirin,Netherlands,Cycling Track
Silver Medal,2,00:00.0,ANDREWS Ellesse,Women's Keirin,New Zealand,Cycling Track
Bronze Medal,3,00:00.0,GENEST Lauriane,Women's Keirin,Canada,Cycling Track
Gold Medal,1,00:00.0,QUAN Hongchan,Women's 10m Platform,People's Republic of China,Diving
Silver Medal,2,00:00.0,CHEN Yuxi,Women's 10m Platform,People's Republic of China,Diving
Bronze Medal,3,00:00.0,WU Melissa,Women's 10m Platform,Australia,Diving
Gold Medal,1,00:00.0,BOCCARD Gauthier,Men,Belgium,Hockey
Gold Medal,1,00:00.0,de KERPEL Nicolas,Men,Belgium,Hockey
Gold Medal,1,00:00.0,de SLOOVER Arthur Anne-Marie Thierr,Men,Belgium,Hockey
Gold Medal,1,00:00.0,HENDRICKX Alexander Robby P,Men,Belgium,Hockey
Gold Medal,1,00:00.0,LUYPAERT Loick Fanny A,Men,Belgium,Hockey
Gold Medal,1,00:00.0,van AUBEL Florent,Men,Belgium,Hockey
Gold Medal,1,00:00.0,VANASCH Vincent,Men,Belgium,Hockey
Gold Medal,1,00:00.0,BOON Tom Alain,Men,Belgium,Hockey
Gold Medal,1,00:00.0,BRIELS Thomas,Men,Belgium,Hockey
Gold Medal,1,00:00.0,CHARLIER Cedric Daniel Andre,Men,Belgium,Hockey
Gold Medal,1,00:00.0,DENAYER Felix Veronique B.,Men,Belgium,Hockey
Gold Medal,1,00:00.0,DOCKIER Sebastien,Men,Belgium,Hockey
Gold Medal,1,00:00.0,GOUGNARD Simon Pierre F,Men,Belgium,Hockey
Gold Medal,1,00:00.0,KINA Antoine Sylvain T,Men,Belgium,Hockey
Gold Medal,1,00:00.0,MEURMANS Augustin Jean J,Men,Belgium,Hockey
Gold Medal,1,00:00.0,WEGNEZ Victor Nicky B,Men,Belgium,Hockey
Gold Medal,1,00:00.0,van DOREN Arthur,Men,Belgium,Hockey
Gold Medal,1,00:00.0,DOHMEN John-John Dominique M,Men,Belgium,Hockey
Silver Medal,2,00:00.0,CHARTER Andrew Lewis,Men,Australia,Hockey
Silver Medal,2,00:00.0,MITTON Trent Grant,Men,Australia,Hockey
Silver Medal,2,00:00.0,OCKENDEN Edward Clive,Men,Australia,Hockey
Silver Medal,2,00:00.0,WHETTON Jacob Thomas,Men,Australia,Hockey
Silver Medal,2,00:00.0,ZALEWSKI Aran,Men,Australia,Hockey
Silver Medal,2,00:00.0,BEALE Daniel James,Men,Australia,Hockey
Silver Medal,2,00:00.0,WICKHAM Tom Joseph,Men,Australia,Hockey
Silver Medal,2,00:00.0,DAWSON Matthew,Men,Australia,Hockey
Silver Medal,2,00:00.0,BRAND Tim,Men,Australia,Hockey
Silver Medal,2,00:00.0,GOVERS Blake,Men,Australia,Hockey
Silver Medal,2,00:00.0,OGILVIE Flynn Andrew,Men,Australia,Hockey
Silver Medal,2,00:00.0,CRAIG Thomas William,Men,Australia,Hockey
Silver Medal,2,00:00.0,HOWARD Tim,Men,Australia,Hockey
Silver Medal,2,00:00.0,BELTZ Joshua,Men,Australia,Hockey
Silver Medal,2,00:00.0,HAYWARD Jeremy Thomas,Men,Australia,Hockey
Silver Medal,2,00:00.0,SHARP Lachlan Thomas,Men,Australia,Hockey
Silver Medal,2,00:00.0,SIMMONDS Joshua,Men,Australia,Hockey
Silver Medal,2,00:00.0,MARTIN Dylan,Men,Australia,Hockey
Bronze Medal,3,00:00.0,PARATTU RAVEENDRAN Sreejesh,Men,India,Hockey
Bronze Medal,3,00:00.0,SINGH Harmanpreet,Men,India,Hockey
Bronze Medal,3,00:00.0,LAKRA Birendra,Men,India,Hockey
Bronze Medal,3,00:00.0,KUMAR Surender,Men,India,Hockey
Bronze Medal,3,00:00.0,ROHIDAS Amit,Men,India,Hockey
Bronze Medal,3,00:00.0,KUMAR Varun,Men,India,Hockey
Bronze Medal,3,00:00.0,SINGH Rupinder Pal,Men,India,Hockey
Bronze Medal,3,00:00.0,SINGH Manpreet,Men,India,Hockey
Bronze Medal,3,00:00.0,SUMIT,Men,India,Hockey
Bronze Medal,3,00:00.0,SHARMA Nilakanta,Men,India,Hockey
Bronze Medal,3,00:00.0,SINGH Hardik,Men,India,Hockey
Bronze Medal,3,00:00.0,PRASAD Vivek Sagar,Men,India,Hockey
Bronze Medal,3,00:00.0,SINGH Mandeep,Men,India,Hockey
Bronze Medal,3,00:00.0,SINGH Shamsher,Men,India,Hockey
Bronze Medal,3,00:00.0,UPADHYAY Lalit Kumar,Men,India,Hockey
Bronze Medal,3,00:00.0,SINGH Simranjeet,Men,India,Hockey
Bronze Medal,3,00:00.0,SINGH Dilpreet,Men,India,Hockey
Bronze Medal,3,00:00.0,SINGH Gurjant,Men,India,Hockey
Gold Medal,1,00:00.0,da COSTA Steven,Men's Kumite -67kg,France,Karate
Silver Medal,2,00:00.0,SAMDAN Eray,Men's Kumite -67kg,Turkey,Karate
Bronze Medal,3,00:00.0,ALMASATFA Abdel Rahman,Men's Kumite -67kg,Jordan,Karate
Bronze Medal,3,00:00.0,ASSADILOV Darkhan,Men's Kumite -67kg,Kazakhstan,Karate
Gold Medal,1,00:00.0,SANCHEZ JAIME Sandra,Women's Kata,Spain,Karate
Silver Medal,2,00:00.0,SHIMIZU Kiyou,Women's Kata,Japan,Karate
Bronze Medal,3,00:00.0,LAU Mo Sheung Grace,Women's Kata,"Hong Kong, China",Karate
Bronze Medal,3,00:00.0,BOTTARO Viviana,Women's Kata,Italy,Karate
Gold Medal,1,00:00.0,GORANOVA Ivet,Women's Kumite -55kg,Bulgaria,Karate
Silver Medal,2,00:00.0,TERLIUGA Anzhelika,Women's Kumite -55kg,Ukraine,Karate
Bronze Medal,3,00:00.0,PLANK Bettina,Women's Kumite -55kg,Austria,Karate
Bronze Medal,3,00:00.0,WEN Tzuyun,Women's Kumite -55kg,Chinese Taipei,Karate
Gold Medal,1,00:00.0,WELLBROCK Florian,Men's 10km,Germany,Marathon Swimming
Silver Medal,2,00:00.0,RASOVSZKY Kristof,Men's 10km,Hungary,Marathon Swimming
Bronze Medal,3,00:00.0,PALTRINIERI Gregorio,Men's 10km,Italy,Marathon Swimming
Gold Medal,1,00:00.0,PALMER Keegan,Men's Park,Australia,Skateboarding
Silver Medal,2,00:00.0,BARROS Pedro,Men's Park,Brazil,Skateboarding
Bronze Medal,3,00:00.0,JUNEAU Cory,Men's Park,United States of America,Skateboarding
Gold Medal,1,00:00.0,GINES LOPEZ Alberto,Men's Combined,Spain,Sport Climbing
Silver Medal,2,00:00.0,COLEMAN Nathaniel,Men's Combined,United States of America,Sport Climbing
Bronze Medal,3,00:00.0,SCHUBERT Jakob,Men's Combined,Austria,Sport Climbing
Gold Medal,1,00:00.0,CHEN Meng,Women's Team,People's Republic of China,Table Tennis
Gold Medal,1,00:00.0,SUN Yingsha,Women's Team,People's Republic of China,Table Tennis
Gold Medal,1,00:00.0,WANG Manyu,Women's Team,People's Republic of China,Table Tennis
Silver Medal,2,00:00.0,ISHIKAWA Kasumi,Women's Team,Japan,Table Tennis
Silver Medal,2,00:00.0,HIRANO Miu,Women's Team,Japan,Table Tennis
Silver Medal,2,00:00.0,ITO Mima,Women's Team,Japan,Table Tennis
Bronze Medal,3,00:00.0,DOO Hoi Kem,Women's Team,"Hong Kong, China",Table Tennis
Bronze Medal,3,00:00.0,LEE Ho Ching,Women's Team,"Hong Kong, China",Table Tennis
Bronze Medal,3,00:00.0,SOO Wai Yam Minnie,Women's Team,"Hong Kong, China",Table Tennis
Gold Medal,1,00:00.0,UGUEV Zavur,Men's Freestyle 57kg,ROC,Wrestling
Silver Medal,2,00:00.0,RAVI Kumar,Men's Freestyle 57kg,India,Wrestling
Bronze Medal,3,00:00.0,SANAYEV Nurislam,Men's Freestyle 57kg,Kazakhstan,Wrestling
Bronze Medal,3,00:00.0,GILMAN Thomas Patrick,Men's Freestyle 57kg,United States of America,Wrestling
Gold Medal,1,00:00.0,TAYLOR III David Morris,Men's Freestyle 86kg,United States of America,Wrestling
Silver Medal,2,00:00.0,YAZDANICHARATI Hassan,Men's Freestyle 86kg,Islamic Republic of Iran,Wrestling
Bronze Medal,3,00:00.0,AMINE Myles Nazem,Men's Freestyle 86kg,San Marino,Wrestling
Bronze Medal,3,00:00.0,NAIFONOV Artur,Men's Freestyle 86kg,ROC,Wrestling
Gold Medal,1,00:00.0,KAWAI Risako,Women's Freestyle 57kg,Japan,Wrestling
Silver Medal,2,00:00.0,KURACHKINA Iryna,Women's Freestyle 57kg,Belarus,Wrestling
Bronze Medal,3,00:00.0,NIKOLOVA Evelina Georgieva,Women's Freestyle 57kg,Bulgaria,Wrestling
Bronze Medal,3,00:00.0,MAROULIS Helen Louise,Women's Freestyle 57kg,United States of America,Wrestling
Gold Medal,1,00:00.0,JACOBS Lamont Marcell,Men's 4 x 100m Relay,Italy,Athletics
Gold Medal,1,00:00.0,TORTU Filippo,Men's 4 x 100m Relay,Italy,Athletics
Gold Medal,1,00:00.0,DESALU Eseosa Fostine,Men's 4 x 100m Relay,Italy,Athletics
Gold Medal,1,00:00.0,PATTA Lorenzo,Men's 4 x 100m Relay,Italy,Athletics
Silver Medal,2,00:00.0,MITCHELL-BLAKE Nethaneel,Men's 4 x 100m Relay,Great Britain,Athletics
Silver Medal,2,00:00.0,KILTY Richard,Men's 4 x 100m Relay,Great Britain,Athletics
Silver Medal,2,00:00.0,UJAH Chijindu,Men's 4 x 100m Relay,Great Britain,Athletics
Silver Medal,2,00:00.0,HUGHES Zharnel,Men's 4 x 100m Relay,Great Britain,Athletics
Bronze Medal,3,00:00.0,RODNEY Brendon,Men's 4 x 100m Relay,Canada,Athletics
Bronze Medal,3,00:00.0,de GRASSE Andre,Men's 4 x 100m Relay,Canada,Athletics
Bronze Medal,3,00:00.0,BLAKE Jerome,Men's 4 x 100m Relay,Canada,Athletics
Bronze Medal,3,00:00.0,BROWN Aaron,Men's 4 x 100m Relay,Canada,Athletics
Gold Medal,1,00:00.0,CHEPTEGEI Joshua,Men's 5000m,Uganda,Athletics
Silver Medal,2,00:00.0,AHMED Mohammed,Men's 5000m,Canada,Athletics
Bronze Medal,3,00:00.0,CHELIMO Paul,Men's 5000m,United States of America,Athletics
Gold Medal,1,00:00.0,TOMALA Dawid,Men's 50km Race Walk,Poland,Athletics
Silver Medal,2,00:00.0,HILBERT Jonathan,Men's 50km Race Walk,Germany,Athletics
Bronze Medal,3,00:00.0,DUNFEE Evan,Men's 50km Race Walk,Canada,Athletics
Gold Medal,1,00:00.0,KIPYEGON Faith,Women's 1500m,Kenya,Athletics
Silver Medal,2,00:00.0,MUIR Laura,Women's 1500m,Great Britain,Athletics
Bronze Medal,3,00:00.0,HASSAN Sifan,Women's 1500m,Netherlands,Athletics
Gold Medal,1,00:00.0,PALMISANO Antonella,Women's 20km Race Walk,Italy,Athletics
Silver Medal,2,00:00.0,ARENAS Sandra Lorena,Women's 20km Race Walk,Colombia,Athletics
Bronze Medal,3,00:00.0,LIU Hong,Women's 20km Race Walk,People's Republic of China,Athletics
Gold Medal,1,00:00.0,MORRISON Natasha,Women's 4 x 100m Relay,Jamaica,Athletics
Gold Medal,1,00:00.0,BURCHELL Remona,Women's 4 x 100m Relay,Jamaica,Athletics
Gold Medal,1,00:00.0,THOMPSON-HERAH Elaine,Women's 4 x 100m Relay,Jamaica,Athletics
Gold Medal,1,00:00.0,WILLIAMS Briana,Women's 4 x 100m Relay,Jamaica,Athletics
Gold Medal,1,00:00.0,JACKSON Shericka,Women's 4 x 100m Relay,Jamaica,Athletics
Gold Medal,1,00:00.0,FRASER-PRYCE Shelly-Ann,Women's 4 x 100m Relay,Jamaica,Athletics
Silver Medal,2,00:00.0,DANIELS Teahna,Women's 4 x 100m Relay,United States of America,Athletics
Silver Medal,2,00:00.0,THOMAS Gabrielle,Women's 4 x 100m Relay,United States of America,Athletics
Silver Medal,2,00:00.0,GARDNER English,Women's 4 x 100m Relay,United States of America,Athletics
Silver Medal,2,00:00.0,OLIVER Javianne,Women's 4 x 100m Relay,United States of America,Athletics
Silver Medal,2,00:00.0,PRANDINI Jenna,Women's 4 x 100m Relay,United States of America,Athletics
Silver Medal,2,00:00.0,HOBBS Aleia,Women's 4 x 100m Relay,United States of America,Athletics
Bronze Medal,3,00:00.0,LANSIQUOT Imani,Women's 4 x 100m Relay,Great Britain,Athletics
Bronze Medal,3,00:00.0,NEITA Daryll,Women's 4 x 100m Relay,Great Britain,Athletics
Bronze Medal,3,00:00.0,PHILIP Asha,Women's 4 x 100m Relay,Great Britain,Athletics
Bronze Medal,3,00:00.0,ASHER-SMITH Dina,Women's 4 x 100m Relay,Great Britain,Athletics
Gold Medal,1,00:00.0,MILLER-UIBO Shaunae,Women's 400m,Bahamas,Athletics
Silver Medal,2,00:00.0,PAULINO Marileidy,Women's 400m,Dominican Republic,Athletics
Bronze Medal,3,00:00.0,FELIX Allyson,Women's 400m,United States of America,Athletics
Gold Medal,1,00:00.0,LIU Shiying,Women's Javelin Throw,People's Republic of China,Athletics
Silver Medal,2,00:00.0,ANDREJCZYK Maria,Women's Javelin Throw,Poland,Athletics
Bronze Medal,3,00:00.0,BARBER Kelsey-Lee,Women's Javelin Throw,Australia,Athletics
Gold Medal,1,00:00.0,KLINEMAN Alix,Women,United States of America,Beach Volleyball
Gold Medal,1,00:00.0,ROSS April,Women,United States of America,Beach Volleyball
Silver Medal,2,00:00.0,CLANCY Taliqua,Women,Australia,Beach Volleyball
Silver Medal,2,00:00.0,ARTACHO del SOLAR Mariafe,Women,Australia,Beach Volleyball
Bronze Medal,3,00:00.0,HEIDRICH Joana,Women,Switzerland,Beach Volleyball
Bronze Medal,3,00:00.0,VERGE-DEPRE Anouk,Women,Switzerland,Beach Volleyball
Gold Medal,1,00:00.0,la CRUZ Julio,Men's Heavy (81-91kg),Cuba,Boxing
Silver Medal,2,00:00.0,GADZHIMAGOMEDOV Muslim,Men's Heavy (81-91kg),ROC,Boxing
Bronze Medal,3,00:00.0,GARSIDE Harry,Men's Light (57-63kg),Australia,Boxing
Bronze Medal,3,00:00.0,BACHKOV Hovhannes,Men's Light (57-63kg),Armenia,Boxing
Bronze Medal,3,00:00.0,FONTIJN Nouchka,Women's Middle (69-75kg),Netherlands,Boxing
Bronze Medal,3,00:00.0,MAGOMEDALIEVA Zenfira,Women's Middle (69-75kg),ROC,Boxing
Gold Medal,1,00:00.0,LAVREYSEN Harrie,Men's Sprint,Netherlands,Cycling Track
Silver Medal,2,00:00.0,HOOGLAND Jeffrey,Men's Sprint,Netherlands,Cycling Track
Bronze Medal,3,00:00.0,CARLIN Jack,Men's Sprint,Great Britain,Cycling Track
Gold Medal,1,00:00.0,ARCHIBALD Katie,Women's Madison,Great Britain,Cycling Track
Gold Medal,1,00:00.0,KENNY Laura,Women's Madison,Great Britain,Cycling Track
Silver Medal,2,00:00.0,DIDERIKSEN Amalie,Women's Madison,Denmark,Cycling Track
Silver Medal,2,00:00.0,LETH Julie,Women's Madison,Denmark,Cycling Track
Bronze Medal,3,00:00.0,NOVOLODSKAIA Mariia,Women's Madison,ROC,Cycling Track
Bronze Medal,3,00:00.0,KHATUNTSEVA Gulnaz,Women's Madison,ROC,Cycling Track
Gold Medal,1,00:00.0,BECKIE Janine,Women,Canada,Football
Gold Medal,1,00:00.0,BUCHANAN Kadeisha,Women,Canada,Football
Gold Medal,1,00:00.0,CARLE Gabrielle,Women,Canada,Football
Gold Medal,1,00:00.0,CHAPMAN Allysha,Women,Canada,Football
Gold Medal,1,00:00.0,FLEMING Jessie,Women,Canada,Football
Gold Medal,1,00:00.0,GILLES Vanessa,Women,Canada,Football
Gold Medal,1,00:00.0,GROSSO Julia,Women,Canada,Football
Gold Medal,1,00:00.0,HUITEMA Jordyn,Women,Canada,Football
Gold Medal,1,00:00.0,LABBE Stephanie,Women,Canada,Football
Gold Medal,1,00:00.0,LAWRENCE Ashley,Women,Canada,Football
Gold Medal,1,00:00.0,LEON Adriana,Women,Canada,Football
Gold Medal,1,00:00.0,McLEOD Erin,Women,Canada,Football
Gold Medal,1,00:00.0,PRINCE Nichelle,Women,Canada,Football
Gold Medal,1,00:00.0,QUINN,Women,Canada,Football
Gold Medal,1,00:00.0,RIVIERE Jayde,Women,Canada,Football
Gold Medal,1,00:00.0,ROSE Deanne,Women,Canada,Football
Gold Medal,1,00:00.0,SCHMIDT Sophie,Women,Canada,Football
Gold Medal,1,00:00.0,SCOTT Desiree,Women,Canada,Football
Gold Medal,1,00:00.0,SHERIDAN Kailen,Women,Canada,Football
Gold Medal,1,00:00.0,SINCLAIR Christine,Women,Canada,Football
Gold Medal,1,00:00.0,VIENS Evelyne,Women,Canada,Football
Gold Medal,1,00:00.0,ZADORSKY Shelina,Women,Canada,Football
Silver Medal,2,00:00.0,ILESTEDT Amanda,Women,Sweden,Football
Silver Medal,2,00:00.0,ANVEGARD Anna,Women,Sweden,Football
Silver Medal,2,00:00.0,SEGER Caroline,Women,Sweden,Football
Silver Medal,2,00:00.0,KULLBERG Emma,Women,Sweden,Football
Silver Medal,2,00:00.0,ANGELDAL Filippa,Women,Sweden,Football
Silver Medal,2,00:00.0,ROLFO Fridolina,Women,Sweden,Football
Silver Medal,2,00:00.0,BENNISON Hanna,Women,Sweden,Football
Silver Medal,2,00:00.0,GLAS Hanna,Women,Sweden,Football
Silver Medal,2,00:00.0,LINDAHL Hedvig,Women,Sweden,Football
Silver Medal,2,00:00.0,FALK Jennifer,Women,Sweden,Football
Silver Medal,2,00:00.0,ANDERSSON Jonna,Women,Sweden,Football
Silver Medal,2,00:00.0,RODDAR Julia,Women,Sweden,Football
Silver Medal,2,00:00.0,ASLLANI Kosovare,Women,Sweden,Football
Silver Medal,2,00:00.0,HURTIG Lina,Women,Sweden,Football
Silver Medal,2,00:00.0,JANOGY Madelen,Women,Sweden,Football
Silver Medal,2,00:00.0,ERIKSSON Magdalena,Women,Sweden,Football
Silver Medal,2,00:00.0,BJORN Nathalie,Women,Sweden,Football
Silver Medal,2,00:00.0,SCHOUGH Olivia,Women,Sweden,Football
Silver Medal,2,00:00.0,BLOMQVIST Rebecka,Women,Sweden,Football
Silver Medal,2,00:00.0,JAKOBSSON Sofia,Women,Sweden,Football
Silver Medal,2,00:00.0,BLACKSTENIUS Stina,Women,Sweden,Football
Silver Medal,2,00:00.0,MUSOVIC Zecira,Women,Sweden,Football
Bronze Medal,3,00:00.0,MORGAN Alex,Women,United States of America,Football
